timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu
2026/05/26 17:02:31.596, 0, NVIDIA L40S, 0, 0, 0, 46068, 43.02, 350.00, 47
2026/05/26 17:02:36.660, 0, NVIDIA L40S, 0, 0, 1337, 46068, 92.09, 350.00, 48
2026/05/26 17:02:41.727, 0, NVIDIA L40S, 0, 0, 1337, 46068, 91.09, 350.00, 48
2026/05/26 17:02:46.812, 0, NVIDIA L40S, 0, 0, 1337, 46068, 91.09, 350.00, 49
2026/05/26 17:02:51.896, 0, NVIDIA L40S, 99, 72, 11709, 46068, 306.06, 350.00, 56
2026/05/26 17:02:56.964, 0, NVIDIA L40S, 98, 71, 11709, 46068, 314.73, 350.00, 61
2026/05/26 17:03:02.028, 0, NVIDIA L40S, 98, 75, 11709, 46068, 316.40, 350.00, 62
2026/05/26 17:03:07.096, 0, NVIDIA L40S, 98, 72, 11709, 46068, 315.72, 350.00, 64
2026/05/26 17:03:12.165, 0, NVIDIA L40S, 98, 75, 11709, 46068, 315.93, 350.00, 65
2026/05/26 17:03:17.236, 0, NVIDIA L40S, 99, 72, 11709, 46068, 314.12, 350.00, 66
